99
0.255	0.5
0.26	0.5
0.265	0.5
0.27	0.5
0.275	0.5
0.28	0.5
0.285	0.5
0.29	0.5
0.295	0.5
0.3	0.5
0.305	0.5
0.31	0.5
0.315	0.5
0.32	0.5
0.325	0.5
0.33	0.5
0.335	0.5
0.34	0.5
0.345	0.5
0.35	0.5
0.355	0.5
0.36	0.5
0.365	0.5
0.37	0.5
0.375	0.5
0.38	0.5
0.385	0.5
0.39	0.5
0.395	0.5
0.4	0.5
0.405	0.5
0.41	0.5
0.415	0.5
0.42	0.5
0.425	0.5
0.43	0.5
0.435	0.5
0.44	0.5
0.445	0.5
0.44995	0.5
0.455	0.5
0.46	0.5
0.465	0.5
0.47	0.5
0.475	0.5
0.48	0.5
0.485	0.5
0.49	0.5
0.495	0.5
0.5	0.5
0.505	0.5
0.51	0.5
0.515	0.5
0.52	0.5
0.525	0.5
0.53	0.5
0.535	0.5
0.54	0.5
0.545	0.5
0.55005	0.5
0.555	0.5
0.56	0.5
0.565	0.5
0.57	0.5
0.575	0.5
0.58	0.5
0.585	0.5
0.59	0.5
0.595	0.5
0.6	0.5
0.605	0.5
0.61	0.5
0.615	0.5
0.62	0.5
0.625	0.5
0.63	0.5
0.635	0.5
0.64	0.5
0.645	0.5
0.65	0.5
0.655	0.5
0.66	0.5
0.665	0.5
0.67	0.5
0.675	0.5
0.68	0.5
0.685	0.5
0.69	0.5
0.695	0.5
0.7	0.5
0.705	0.5
0.71	0.5
0.715	0.5
0.72	0.5
0.725	0.5
0.73	0.5
0.735	0.5
0.74	0.5
0.745	0.5
